,p-value
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MDscan_1,0.0
AP1_JUND_GM12878_encode-Snyder_seq_hsa_MDscan_3,0.0
AP1_JUND_GM12878_encode-Snyder_seq_hsa_MDscan_2,0.0
AP1_JUND_GM12878_encode-Snyder_seq_hsa_MDscan_1,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MDscan_2,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MDscan_3,0.0
AP1_JUND_GM12878_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MEME_1,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MEME_2,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_MEME_2,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_MEME_1,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_MDscan_3,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_MDscan_1,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_MEME_3,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_AlignACE_1,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_Trawler_3,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MEME_2,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MEME_1,0.0
AP1_JUN_HUVEC_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_JUND_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
AP1_JUND_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
AP1_JUND_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_MEME_2,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_MEME_1,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_MDscan_3,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_MDscan_2,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_MDscan_1,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
AP1_JUND_K562_encode-White_seq_hsa_eGFP_AlignACE_1,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
AP1_JUN_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MDscan_3,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
AP1_JUN_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_Trawler_3,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_MEME_2,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_MEME_1,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_MDscan_3,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_MDscan_2,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_MDscan_1,0.0
AP1_JUND_HepG2_encode-Myers_seq_hsa_AlignACE_1,0.0
AP1_JUND_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MDscan_2,0.0
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_MDscan_2,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_3,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_3,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_2,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_MEME_2,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_MEME_1,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_MDscan_3,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_MDscan_2,0.0
AP1_FOS_HUVEC_encode-Snyder_seq_hsa_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_1,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_2,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_1,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
