,p-value
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_2,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_3,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_AlignACE_2,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_AlignACE_3,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MDscan_1,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MDscan_2,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MDscan_3,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MEME_1,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MEME_2,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_MEME_3,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Weeder_2,0.0
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Weeder_3,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_3,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Weeder_2,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Weeder_3,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Weeder_3,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_MDscan_3,0.0
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_MDscan_2,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Weeder_2,0.0
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,4.712923886599002e-184
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Trawler_2,2.844592294803996e-140
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,9.04415685630529e-134
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Trawler_1,3.3421685961940405e-133
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Trawler_1,6.173539495029841e-131
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_1,4.5837242170188835e-104
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_2,6.611122259041325e-104
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Trawler_3,2.2504139391871528e-80
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Trawler_3,3.3167103752287934e-55
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_3,9.649008956142264e-47
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Trawler_2,4.5941615821230526e-38
ATF3_ATF3_GM12878_encode-Myers_seq_hsa_Weeder_1,
ATF3_ATF3_H1-hESC_encode-Myers_seq_hsa_v041610.2_Weeder_1,
ATF3_ATF3_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_1,
ATF3_ATF3_K562_encode-Snyder_seq_hsa_Weeder_1,
