,p-value
BATF_BATF_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MDscan_2,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MDscan_3,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_MEME_3,0.0
BATF_BATF_GM12878_encode-Myers_seq_hsa_Trawler_3,4.540614948540388e-08
BATF_BATF_GM12878_encode-Myers_seq_hsa_Trawler_1,1.0188800315819124e-07
BATF_BATF_GM12878_encode-Myers_seq_hsa_Trawler_2,2.5784506764857375e-05
BATF_BATF_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0030308590840923996
BATF_BATF_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.22018878319106613
