,p-value
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_2,0.0
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_3,0.0
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,2.3460168995096484e-270
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,2.2594490833136092e-268
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,2.671814839950432e-221
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,1.2522089222271388e-218
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,8.522808901846347e-216
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,3.7403540685742906e-211
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,5.956894290101211e-153
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,4.1149950216852665e-110
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_3,2.4338961962509203e-18
BHLHE40_BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_1,
