,p-value
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_AlignACE_1,0.0
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_AlignACE_3,0.0
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_AlignACE_1,0.0
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_AlignACE_2,0.0
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_AlignACE_2,1.6550102091956757e-293
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_MEME_2,3.340813278324138e-287
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_AlignACE_3,7.739797709664943e-282
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_MEME_1,4.428945271197965e-279
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_MEME_2,6.158111867375741e-276
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_MEME_1,1.141246847509133e-258
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Weeder_2,1.9582313906866856e-251
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Weeder_3,6.665634383867097e-247
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_MDscan_1,8.100545622379293e-186
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_MDscan_1,5.44889349759647e-185
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_Trawler_2,4.3709121631523297e-72
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_Trawler_1,1.7918638322313992e-38
BRCA1_BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_Trawler_3,9.033502139376714e-35
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Trawler_2,6.869368657273649e-33
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Trawler_1,3.446643477998057e-32
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Trawler_3,1.969343577512453e-23
BRCA1_BRCA1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-C-1863_Weeder_1,
