,p-value
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_1,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_3,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_2,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_1,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_2,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,1.839775493087352e-39
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,1.640253379092488e-25
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,3.408470506616391e-24
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_2,1.878052037653415e-20
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,2.722417606954783e-20
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_2,1.3254683814568577e-19
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,2.8290180247796924e-17
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,8.277329065589257e-17
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,8.850780392546718e-13
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_1,2.170203856229579e-12
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,3.8609674799568634e-11
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_3,5.057448425069625e-11
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,2.3572314977439337e-10
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,1.899708328665883e-09
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,6.10411714448841e-08
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,1.0718238565881053e-07
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,4.2447959137656877e-07
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_3,3.347295110293248e-06
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,8.187099387400995e-06
CEBPB_CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.912865687633729e-05
CEBPB_CEBPB_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,0.003360211603302918
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_1,0.011994456834325802
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,0.04537601936713422
CEBPB_CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,0.11228562313015784
