,p-value
CTCF_CTCF_A549_encode-Myers_seq_hsa_DEX-100nM_AlignACE_1,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MDscan_1,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MDscan_2,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MDscan_3,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MEME_1,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MEME_2,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_MEME_3,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_AlignACE_3,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MDscan_1,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MDscan_2,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MDscan_3,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MEME_1,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MEME_2,0.0
CTCF_CTCF_HMEC_encode-Stam_seq_hsa_MEME_3,0.0
CTCF_CTCF_HMF_encode-Stam_seq_hsa_AlignACE_1,0.0
CTCF_CTCF_HMF_encode-Stam_seq_hsa_AlignACE_2,0.0
CTCF_CTCF_HMF_encode-Stam_seq_hsa_AlignACE_3,0.0
CTCF_CTCF_HMF_encode-Stam_seq_hsa_MDscan_1,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_AlignACE_3,0.0
CTCF_CTCF_HMF_encode-Stam_seq_hsa_MDscan_2,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_AlignACE_2,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_Trawler_3,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_AlignACE_1,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_AlignACE_3,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MDscan_1,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MDscan_2,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MDscan_3,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MEME_1,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MEME_2,0.0
CTCF_CTCF_HepG2_encode-Stam_seq_hsa_MEME_3,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_AlignACE_1,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_AlignACE_2,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_AlignACE_3,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MDscan_1,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MDscan_2,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MDscan_3,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MEME_1,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MEME_2,0.0
CTCF_CTCF_HL-60_encode-Stam_seq_hsa_MEME_3,0.0
CTCF_CTCF_HMEC_encode-Bernstein_seq_hsa_AlignACE_1,0.0
CTCF_CTCF_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_3,0.0
