,p-value
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_AlignACE_2,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_AlignACE_3,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_MDscan_1,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_MDscan_2,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_MDscan_3,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_Trawler_1,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_AlignACE_1,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_AlignACE_2,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_AlignACE_3,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MDscan_1,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MDscan_2,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MDscan_3,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MEME_1,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MEME_2,0.0
E2F_E2F1_MCF-7_encode-Snyder_seq_hsa_HA_MEME_3,0.0
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_AlignACE_1,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_AlignACE_2,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_AlignACE_3,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_MEME_1,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_MEME_2,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Weeder_2,0.0
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Weeder_3,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_AlignACE_1,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_MDscan_2,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_AlignACE_1,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_AlignACE_2,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_AlignACE_3,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_MDscan_1,0.0
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_MDscan_3,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_MEME_1,0.0
E2F_E2F6_K562b_encode-Snyder_seq_hsa_MEME_2,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_AlignACE_1,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_AlignACE_2,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_AlignACE_3,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_MDscan_1,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_MDscan_2,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_MEME_1,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_MEME_2,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,0.0
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_MDscan_3,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,0.0
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,4.827267188364401e-284
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,5.7715840611944835e-257
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,6.423003298747294e-217
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,1.4560693114887833e-162
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_Trawler_2,1.125938270739692e-147
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,1.0273825107953858e-138
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_Trawler_1,1.777711872971603e-116
E2F_E2F4_K562b_encode-Snyder_seq_hsa_MDscan_2,4.070997891970508e-111
E2F_E2F4_K562b_encode-Snyder_seq_hsa_MDscan_1,1.2407872695250635e-94
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,1.7313131613102378e-92
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_Trawler_3,3.74370380880876e-92
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_HA_MEME_1,6.1455831262272e-88
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,1.1382478560061741e-79
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,1.9232738044688795e-77
E2F_E2F4_K562b_encode-Snyder_seq_hsa_MDscan_3,3.069570174296409e-77
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Trawler_3,1.4748556400254236e-67
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,3.529267689639008e-55
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,9.033044660659364e-55
E2F_E2F4_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,9.200475427378166e-51
E2F_E2F6_K562_encode-Myers_seq_hsa_v041610.2-H-50_Trawler_2,1.897293436666939e-42
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Trawler_1,1.897293436666939e-42
E2F_E2F6_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,7.950194775789345e-37
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,1.1775430099666926e-34
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Trawler_2,1.7667676494839292e-31
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,2.8090686744320002e-24
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,3.914692995001778e-08
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,0.43048498147087444
E2F_E2F1_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.8515492991287743
E2F_E2F4_K562b_encode-Snyder_seq_hsa_Weeder_1,
