,p-value
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_AlignACE_1,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_MDscan_1,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_MDscan_2,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_MDscan_3,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_MEME_1,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_MEME_2,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_MEME_2,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_MEME_1,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_MDscan_3,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_AlignACE_1,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_AlignACE_2,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_MDscan_1,0.0
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_MDscan_2,0.0
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_AlignACE_2,1.954674121668945e-295
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_AlignACE_3,1.2771077058915133e-271
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_AlignACE_3,2.993046109707689e-254
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_Trawler_3,3.0277821321007677e-26
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_Trawler_3,3.003316699076137e-15
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_Trawler_2,3.0483880917236956e-06
EBF1_EBF1_GM12878_encode-Myers_seq_hsa_C-8_Trawler_1,0.001291874204439433
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_Trawler_1,0.00489495458719127
EBF1_EBF1_GM12878_encode-Snyder_seq_hsa_Trawler_2,0.5804455963802369
