,p-value
EGR1_EGR1_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_Weeder_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_Weeder_3,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.1_Trawler_3,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,0.0
EGR1_EGR1_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_2,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
EGR1_EGR1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
