,p-value
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_1,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_MEME_2,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_MEME_1,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_MDscan_3,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_MDscan_2,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_MDscan_1,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_AlignACE_3,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_AlignACE_2,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_AlignACE_1,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_MEME_2,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_3,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_2,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_MEME_1,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_3,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_2,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_1,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_MEME_2,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_MEME_1,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_3,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_2,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_1,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_3,0.0
ELF1_ELF1_GM12878_encode-Myers_seq_hsa_v041610.1-SC-631_AlignACE_2,0.0
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_MDscan_1,0.0
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_Trawler_1,2.0616452062370614e-282
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_Trawler_2,2.050909744696524e-110
ELF1_ELF1_K562_encode-Myers_seq_hsa_v041610.2-SC-631_Trawler_2,9.071545900366592e-88
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_Trawler_3,7.798548302060136e-73
ELF1_ELF1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-631_Trawler_1,1.8428370621183418e-22
