,p-value
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_MDscan_2,7.163130440300838e-270
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_MDscan_1,3.3685823166081017e-268
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_MDscan_3,5.850311511304935e-267
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_MEME_1,4.1805342629006756e-246
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_AlignACE_2,4.477663328767223e-217
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_AlignACE_1,2.715835421622529e-99
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,1.390550065097747e-90
EP300_EP300_GM12878_encode-Myers_seq_hsa_AlignACE_2,2.3754802093363308e-89
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,5.1232617829948635e-87
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_AlignACE_2,1.2800240448032052e-83
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_AlignACE_3,1.684941990523592e-78
EP300_EP300_GM12878_encode-Myers_seq_hsa_AlignACE_3,4.1594667532189546e-78
EP300_EP300_GM12878_encode-Myers_seq_hsa_AlignACE_1,1.3989243833305934e-77
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,3.8422192551468365e-75
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_MDscan_2,5.164881287200314e-75
EP300_EP300_GM12878_encode-Myers_seq_hsa_MDscan_3,8.313582599150796e-75
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_AlignACE_1,9.039420894218185e-68
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_MDscan_3,1.5611012991607343e-67
EP300_EP300_HepG2_encode-Myers_seq_hsa_AlignACE_1,6.002743769222643e-66
EP300_EP300_HepG2_encode-Myers_seq_hsa_AlignACE_3,1.3101362784007176e-64
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_MDscan_1,3.218852117466497e-63
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MDscan_1,1.0350006839806925e-62
EP300_EP300_GM12878_encode-Myers_seq_hsa_MEME_1,3.329779346160914e-60
EP300_EP300_GM12878_encode-Myers_seq_hsa_MDscan_2,6.213542535535583e-58
EP300_EP300_GM12878_encode-Myers_seq_hsa_MDscan_1,1.2867212835614637e-55
EP300_EP300_HepG2_encode-Myers_seq_hsa_AlignACE_2,1.0037200098701502e-54
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,5.437415277088562e-50
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,2.9879017330270464e-47
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,2.4139565809918864e-41
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_AlignACE_3,3.908128457951428e-41
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,7.546566440442477e-40
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,1.2169621238713543e-38
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_3,7.473757449567352e-38
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,8.075708329173681e-38
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MDscan_3,7.571812517816644e-36
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_AlignACE_1,9.87838402947962e-32
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_AlignACE_2,1.1869249794667448e-31
EP300_EP300_GM12878_encode-Myers_seq_hsa_MEME_2,2.219506853269663e-31
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,4.037657639277284e-31
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MDscan_2,4.249877155953163e-29
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,4.437807557849012e-29
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_MEME_2,1.8003492072678243e-19
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_MEME_2,6.930534106327217e-19
EP300_EP300_HepG2_encode-Myers_seq_hsa_Trawler_2,2.7928522494579527e-17
EP300_EP300_HepG2_encode-Myers_seq_hsa_MEME_2,8.716496648423343e-17
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_MEME_1,9.634343666709609e-17
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MEME_3,9.223593519791096e-16
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MEME_1,1.0352699187514256e-15
EP300_EP300_HepG2_encode-Myers_seq_hsa_MDscan_1,2.0277811889044112e-15
EP300_EP300_GM12878_encode-Myers_seq_hsa_Trawler_3,6.41895744038878e-14
EP300_EP300_HepG2_encode-Myers_seq_hsa_Trawler_1,2.2040853692358432e-10
EP300_EP300_HepG2_encode-Myers_seq_hsa_MEME_1,2.4280544861709152e-09
