,p-value
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_2,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MEME_2,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_1,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_2,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_1,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_3,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MEME_1,0.0
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MEME_3,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MEME_2,0.0
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MEME_3,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_1,0.0
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MEME_2,0.0
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MEME_2,0.0
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MEME_1,7.95686444835679e-305
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MEME_1,2.1561699126003093e-304
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_AlignACE_3,4.522434085224209e-287
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MEME_1,7.48141592665777e-285
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_3,1.0927177247446985e-282
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_2,4.733953040228438e-282
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_2,5.202573147071554e-280
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_AlignACE_1,5.779218758416183e-265
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_3,2.7273475907482894e-256
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_3,1.8002410576114222e-251
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_1,8.42935127608862e-231
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_2,1.0324881670007895e-230
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_2,1.212780621820065e-229
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_AlignACE_1,5.188236351910541e-208
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_3,5.10769759828895e-197
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_3,7.920126181969556e-193
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_1,2.3115568573572455e-187
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_AlignACE_2,2.755660164056343e-187
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_Trawler_3,8.653660811914896e-176
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_MDscan_2,1.612435423784228e-174
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_1,5.1308822882899075e-167
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_2,1.2972602037342538e-162
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_3,1.1781605704880727e-135
ESRRA_ESR1_ECC-1_encode-Myers_seq_hsa_Estradiol-10nM-v041610.2_MDscan_1,7.236878151702821e-127
ESRRA_ESR1_T-47D_encode-Myers_seq_hsa_Genistein-100nM-v041610.2_Trawler_2,4.495688331079864e-112
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_2,3.889483315674078e-91
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_3,9.2407324235641e-60
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_1,4.538760785292167e-58
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_2,1.8499330709793563e-53
ESRRA_ESRRA_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_3,2.2701811901654894e-39
