,p-value
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_AlignACE_1,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_AlignACE_2,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_AlignACE_1,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_Weeder_3,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_Weeder_2,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MEME_3,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MEME_2,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MEME_1,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MDscan_3,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_AlignACE_3,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MDscan_2,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MDscan_1,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MDscan_3,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MDscan_2,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MEME_2,0.0
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MEME_1,0.0
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_MDscan_3,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_AlignACE_2,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_AlignACE_3,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_MDscan_1,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_MDscan_2,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_MEME_2,0.0
ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_MEME_1,0.0
ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_MEME_3,3.736894045320649e-281
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_Trawler_2,3.022367228196559e-249
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_2,1.7999895899648136e-190
ETS_ETS1_GM12878_encode-Myers_seq_hsa_MEME_3,6.086098691622439e-184
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_Trawler_2,3.227261081157364e-156
ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_3,3.739776150285348e-156
ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_MEME_2,7.203887383737113e-154
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_Trawler_1,7.745537431925319e-120
ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_Trawler_2,1.3661906514197723e-111
ETS_ELK4_HEK293b_encode-Snyder_seq_hsa_Trawler_3,3.257438768206018e-110
ETS_ETS1_GM12878_encode-Myers_seq_hsa_MEME_2,8.267420143897679e-110
ETS_GABPA_K562_encode-Myers_seq_hsa_v041610.1_Trawler_3,9.04020084409406e-109
