,p-value
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_MEME_2,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_MDscan_2,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_MDscan_1,0.0
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_MEME_1,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_MEME_2,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_1,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_2,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_3,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_MEME_2,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_MEME_1,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_MDscan_3,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_MDscan_2,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_MDscan_3,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_MDscan_1,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MEME_2,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_1,0.0
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_AlignACE_1,0.0
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_MDscan_1,0.0
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MEME_2,0.0
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MEME_1,0.0
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_3,0.0
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_2,0.0
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MDscan_1,0.0
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_MDscan_2,0.0
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_MDscan_3,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_MEME_1,0.0
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_MEME_1,0.0
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_3,7.860243951118321e-26
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_AlignACE_1,1.4152142797751904e-11
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_AlignACE_3,2.939405675090707e-11
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_1,1.371220023016554e-10
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_Trawler_3,2.2907564586332722e-09
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_1,8.420174878643657e-08
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_2,1.2764561488584358e-06
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_2,3.3794072371970513e-06
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_3,1.1119935173449538e-05
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-SC-101058_AlignACE_2,1.274402686934485e-05
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_Trawler_2,2.153360283908907e-05
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_AlignACE_3,0.000439590829491132
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_1,0.0023050515187490466
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_AlignACE_3,0.011281924467850809
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_2,0.08257440388259481
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_Trawler_1,0.16683652571203705
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_2,0.1871595000568856
FOXA_FOXA1_HepG2_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_3,0.2507093863253891
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_3,0.3193069286548341
FOXA_FOXA1_ECC-1_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_1,0.38488091337481156
FOXA_FOXA2_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6554_AlignACE_2,0.4368968138284025
FOXA_FOXA1_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-C-20_Trawler_2,0.5204174540622701
