,p-value
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_AlignACE_1,0.0
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MEME_2,0.0
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MEME_3,0.0
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MEME_2,0.0
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MEME_1,0.0
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MEME_3,0.0
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_MEME_1,0.0
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MEME_1,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MEME_3,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MEME_1,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MDscan_3,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MDscan_2,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MDscan_1,0.0
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_MEME_2,0.0
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MDscan_2,0.0
GATA_GATA1_K562b_encode-Snyder_seq_hsa_MEME_2,0.0
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MDscan_3,0.0
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_MDscan_2,7.134739512494333e-303
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_MDscan_3,3.388003540415346e-263
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MDscan_3,7.046763737350897e-255
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_MDscan_1,1.6858432204752316e-252
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MDscan_2,5.395861730970669e-245
GATA_GATA2_K562b_encode-Snyder_seq_hsa_MDscan_1,1.729105768343886e-230
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_MDscan_1,6.766143735560083e-153
GATA_GATA2_SH-SY5Y_encode-Snyder_seq_hsa_AlignACE_1,3.1761304953215785e-123
GATA_GATA1_PBDE_encode-Snyder_seq_hsa_AlignACE_1,1.0708723019100642e-114
GATA_GATA2_SH-SY5Y_encode-Snyder_seq_hsa_AlignACE_2,7.840542379435743e-113
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_AlignACE_2,3.3795849892177306e-109
GATA_GATA2_SH-SY5Y_encode-Snyder_seq_hsa_AlignACE_3,2.4203740939639668e-108
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_AlignACE_1,1.601561525979906e-107
GATA_GATA2_SH-SY5Y_encode-Snyder_seq_hsa_MEME_2,1.6711616511903725e-106
GATA_GATA1_PBDE_encode-Snyder_seq_hsa_AlignACE_2,1.899854172155675e-103
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_AlignACE_3,1.8394597037803776e-102
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_AlignACE_3,9.083156230544857e-102
GATA_GATA1_K562b_encode-Snyder_seq_hsa_AlignACE_3,1.2128744745364068e-98
