,p-value
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_MEME_1,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_MDscan_3,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_MDscan_2,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_AlignACE_3,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_AlignACE_2,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_MEME_2,0.0
HEY1_HEY1_K562_encode-Myers_seq_hsa_MEME_3,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,1.6988555733057094e-169
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,6.400984602920546e-71
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_3,7.576901755359731e-45
HEY1_HEY1_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,1.4122632241954377e-42
HEY1_HEY1_K562_encode-Myers_seq_hsa_MDscan_1,1.281287483531601e-15
