,p-value
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_3,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_3,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_2,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_1,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_MDscan_2,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_2,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_1,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_2,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_AlignACE_2,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_MDscan_1,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_MDscan_3,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_MEME_2,0.0
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MEME_3,0.0
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MEME_2,0.0
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MEME_1,0.0
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MDscan_3,0.0
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MDscan_2,0.0
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_MEME_1,0.0
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_2,1.5347265060018427e-239
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_MDscan_1,4.314690256268662e-207
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_AlignACE_3,6.83584687081694e-175
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_3,4.1051747841843874e-173
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_AlignACE_2,3.0147432348728e-171
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_1,1.8462018275528312e-162
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_AlignACE_1,6.937829412375917e-159
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_AlignACE_1,2.8969877277371713e-135
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_3,8.965723586233453e-125
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_AlignACE_3,5.289983059423805e-109
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_Trawler_3,3.2377964171355894e-60
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_Trawler_2,6.644356930329178e-57
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_Trawler_2,5.624924628873214e-56
HNF4_HNF4A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_1,4.2198856667721306e-23
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_Trawler_3,1.3134341153490936e-10
HNF4_HNF4A_HepG2_encode-Myers_seq_hsa_v041610.1-H-171_Trawler_1,3.046945131846834e-09
HNF4_HNF4G_HepG2_encode-Myers_seq_hsa_v041610.1-SC-6558_Trawler_1,0.510515308067304
