,p-value
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_2,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_3,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_2,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_1,0.0
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_1,0.0
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_3,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_2,0.0
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_Trawler_1,8.509681769095546e-226
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_AlignACE_1,3.9028055034203304e-213
IRF_IRF3_GM12878_encode-Snyder_seq_hsa_Trawler_1,2.124205262201981e-196
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,2.145000105591122e-154
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_AlignACE_3,3.920311546840913e-149
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,2.109919630607195e-143
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_1,5.608916588568278e-108
IRF_IRF3_GM12878_encode-Snyder_seq_hsa_MDscan_3,2.172414541325047e-107
IRF_IRF3_GM12878_encode-Snyder_seq_hsa_MDscan_1,9.701261023212127e-107
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_AlignACE_2,1.0299174699669027e-106
IRF_IRF3_GM12878_encode-Snyder_seq_hsa_MDscan_2,5.307594172208805e-105
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MDscan_1,3.500244391172086e-104
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_2,2.3966139405701457e-98
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MDscan_3,2.406162282944149e-94
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,8.872082833264268e-94
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MDscan_2,4.714468307103629e-90
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,1.5413219550561103e-87
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_3,5.181117070762179e-78
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MEME_3,2.259508390406417e-68
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_Trawler_2,5.066154754702353e-58
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_Trawler_1,5.195927149394409e-46
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.0429504267570115e-39
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MEME_2,1.480733322979e-37
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,5.065877489624747e-32
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_Trawler_3,1.3712736415532607e-29
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_MEME_1,2.1415119528227703e-23
IRF_IRF3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,1.5495243832828429e-19
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNg6h_Trawler_2,4.2383474411209057e-16
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_Trawler_3,1.1755813879793862e-10
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_3,4.776529659728921e-10
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_2,1.07066858985204e-06
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_1,1.1158753585926212e-05
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_MEME_1,0.006443715794209476
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_MEME_2,0.015247478676028792
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_Trawler_2,0.023760660877789344
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_1,0.037565119142143735
IRF_IRF1_K562_encode-Snyder_seq_hsa_IFNa30_Trawler_3,0.12665761590289606
IRF_IRF4_GM12878_encode-Myers_seq_hsa_M-17_Trawler_1,0.17697465600050008
