,p-value
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_AlignACE_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_Trawler_1,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_3,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_AlignACE_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_MDscan_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_MDscan_2,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_MEME_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_3,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_MEME_2,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_1,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_1,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_2,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_3,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_1,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_2,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_MEME_3,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_2,0.0
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_Trawler_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_3,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_2,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MDscan_1,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_MDscan_1,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_MDscan_2,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_MEME_1,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_MEME_2,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_1,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_MEME_1,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_Trawler_2,0.0
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_MEME_3,0.0
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_Trawler_1,3.3869847863291684e-265
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_Trawler_2,1.1209171751767231e-254
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_Trawler_3,2.2476795106898047e-190
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_Trawler_3,2.909041629855647e-144
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_Trawler_1,2.4347065730055023e-141
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_Trawler_2,4.588080272179528e-114
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_2,2.674966063805764e-60
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_AlignACE_2,2.951948364993695e-54
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_2,2.525642418725495e-53
MAF_MAFF_HepG2_encode-Snyder_seq_hsa_IgG-rab-M8194_AlignACE_3,5.0648847450966004e-48
MAF_MAFK_K562_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_3,3.5761041825983786e-43
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_AlignACE_3,2.957606813663214e-37
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-ab50322_AlignACE_3,7.652264608457992e-33
MAF_MAFK_HepG2_encode-Snyder_seq_hsa_IgG-rab-SC-477_AlignACE_2,1.7595461857183945e-17
