,p-value
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_MEME_2,1.4040308221424072e-239
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_MEME_2,2.596498714249281e-214
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_MEME_1,2.617653868790146e-190
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_MDscan_2,3.3353943888367195e-189
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_MEME_1,6.332046070540744e-186
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_MDscan_1,3.1341662806179894e-130
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_MDscan_2,1.3366700989786605e-78
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_MDscan_3,3.288792389701769e-74
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_MDscan_1,1.3203694692247877e-73
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_MDscan_3,1.20486894048674e-66
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_AlignACE_1,6.404695568028381e-45
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_AlignACE_2,4.557449076029869e-39
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_AlignACE_3,3.1102109607276036e-37
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_Trawler_1,2.5921215771547045e-33
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_AlignACE_3,2.6953668445789413e-33
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_Trawler_3,1.4327270804632702e-30
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_AlignACE_2,2.1609501862654116e-30
MEF2_MEF2A_GM12878_encode-Myers_seq_hsa_AlignACE_1,8.07108858130112e-28
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_Trawler_2,4.2229300487779597e-22
MEF2_MEF2C_GM12878_encode-Myers_seq_hsa_v041610.1-SC-13268_Trawler_1,3.538564411432859e-09
