,p-value
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_1,0.0
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_3,0.0
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_2,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_MEME_2,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_MEME_1,0.0
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_1,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_1,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_3,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_AlignACE_2,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_3,0.0
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_2,5.651454883306863e-297
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MEME_3,2.032717454492101e-229
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MEME_2,2.426329128347283e-211
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_1,8.839392231247923e-198
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MEME_1,9.531056455121075e-190
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_3,4.83112616383442e-186
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_2,1.5713309409747923e-149
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_1,1.5446475567632341e-146
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_MDscan_3,3.7008897615460335e-135
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_3,2.4258985794695866e-125
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_1,1.0557590016424485e-96
MXI1_MXI1_K562_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_2,3.8245447155609686e-61
MXI1_MXI1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-bHLH_Trawler_2,1.4134061199982622e-39
