,p-value
MYC_MAX_GM12878_encode-Snyder_seq_hsa_AlignACE_1,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_MEME_1,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_MDscan_3,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_MDscan_2,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_MDscan_1,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_AlignACE_3,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_AlignACE_2,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_MEME_2,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_AlignACE_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_MDscan_3,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_MDscan_2,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_MDscan_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_AlignACE_3,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_AlignACE_2,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_AlignACE_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_vehicle_MEME_1,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_Weeder_2,0.0
MYC_MYC_NB4_encode-Snyder_seq_hsa_Weeder_3,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_AlignACE_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_Trawler_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_MEME_2,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_MEME_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_MDscan_3,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_MDscan_2,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_MDscan_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_AlignACE_3,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_AlignACE_2,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_EtOH-0.02pct_AlignACE_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_MEME_2,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_MEME_1,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_MDscan_3,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_MDscan_2,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_AlignACE_3,0.0
MYC_USF1_A549_encode-Myers_seq_hsa_DEX-100nM_AlignACE_2,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_MEME_2,0.0
MYC_USF1_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_MEME_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_MDscan_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_MEME_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_MEME_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_3,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_MDscan_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_AlignACE_3,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_AlignACE_2,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_AlignACE_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_MEME_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_MEME_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_1,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_2,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_1,0.0
MYC_MYC_MCF-7_encode-Crawford_seq_hsa_estrogen_MDscan_3,0.0
MYC_MYC_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_1,0.0
MYC_USF1_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
MYC_USF1_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_1,0.0
MYC_USF2_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,0.0
MYC_USF2_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
MYC_USF2_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
MYC_USF2_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
MYC_USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
MYC_USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_MEME_1,0.0
MYC_USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,0.0
MYC_USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
MYC_USF2_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MEME_1,0.0
MYC_USF2_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_MEME_2,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_MEME_1,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_MDscan_3,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_MDscan_2,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_MDscan_1,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_AlignACE_3,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_AlignACE_2,0.0
MYC_USF2_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
MYC_USF2_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
MYC_USF2_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
