,p-value
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_AlignACE_2,6.621555761099002e-304
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_AlignACE_3,1.9037932292069984e-258
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_MEME_1,1.6707392032753964e-214
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_AlignACE_1,2.4853265561054704e-165
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_Trawler_2,4.208894301697026e-36
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_MEME_2,1.8992690841719694e-16
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_Trawler_3,3.462765483783181e-07
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_Trawler_1,0.00013945332867661036
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_MDscan_1,0.00043988393765649695
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_MDscan_3,0.06907997321555152
NANOG_NANOG_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-33759_MDscan_2,0.27423041555487604
