,p-value
NFE2_NFE2_K562_encode-Snyder_seq_hsa_MEME_2,0.0
NFE2_NFE2_K562_encode-Snyder_seq_hsa_MEME_1,0.0
NFE2_NFE2_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
NFE2_NFE2_K562_encode-Snyder_seq_hsa_Trawler_2,2.031555287471958e-179
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_MDscan_3,1.2651333513714347e-91
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_MDscan_1,4.198258117117632e-90
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_MEME_2,3.575538909351132e-88
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_MEME_1,2.1216482398356116e-87
NFE2_NFE2_K562_encode-Snyder_seq_hsa_MDscan_2,1.430108492068255e-85
NFE2_NFE2_K562_encode-Snyder_seq_hsa_MDscan_1,6.24391395175414e-85
NFE2_NFE2_K562_encode-Snyder_seq_hsa_AlignACE_3,6.274378932537234e-85
NFE2_NFE2_K562_encode-Snyder_seq_hsa_MDscan_3,2.0223360882190307e-83
NFE2_NFE2_K562_encode-Snyder_seq_hsa_Trawler_3,3.949954484170168e-80
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_MDscan_2,4.780150981839102e-77
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_AlignACE_2,1.0866222267250085e-55
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_AlignACE_1,6.753728152666292e-45
NFE2_NFE2_K562_encode-Snyder_seq_hsa_AlignACE_2,2.136712538815888e-38
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_AlignACE_3,1.3976877724671788e-28
NFE2_NFE2_K562_encode-Snyder_seq_hsa_Trawler_1,3.717085293978257e-10
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_Trawler_3,1.6747472100457e-08
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_Trawler_1,3.318639106843334e-08
NFE2_NFE2_GM12878_encode-Snyder_seq_hsa_H-230_Trawler_2,2.8794467637419e-07
