,p-value
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_Weeder_3,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_Weeder_2,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM18951_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_MDscan_1,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_MEME_2,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_MEME_1,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_MDscan_3,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_MDscan_2,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_AlignACE_2,0.0
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_AlignACE_1,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,0.0
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,1.2552459330734e-311
NFKB_NFKB1_GM12892_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,4.773396864914399e-308
NFKB_NFKB1_GM12891_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,2.352204634210919e-305
NFKB_NFKB1_GM15510_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,2.154837262015737e-298
NFKB_NFKB1_GM10847_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,2.8169139136196635e-298
NFKB_NFKB1_GM19193_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,2.624356985663442e-294
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,4.0528374945034936e-291
NFKB_NFKB1_GM18505_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,3.1030873312093405e-288
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,2.0018851492072894e-274
NFKB_NFKB1_GM12878_encode-Snyder_seq_hsa_TNFa_AlignACE_3,1.214416126542621e-254
NFKB_NFKB1_GM19099_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,4.064058542835501e-244
