,p-value
NFY_NFYA_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MEME_1,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MDscan_3,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MDscan_2,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MDscan_1,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_AlignACE_3,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_AlignACE_2,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MEME_2,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_MEME_3,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MEME_3,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MEME_2,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MEME_1,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MDscan_3,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MDscan_2,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_MDscan_1,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_AlignACE_3,0.0
NFY_NFYA_K562_encode-Snyder_seq_hsa_AlignACE_2,0.0
NFY_NFYB_K562_encode-Snyder_seq_hsa_Trawler_2,6.57457677910629e-52
NFY_NFYB_K562_encode-Snyder_seq_hsa_Trawler_1,1.3140730989200311e-17
NFY_NFYA_K562_encode-Snyder_seq_hsa_Trawler_2,9.629084201471746e-13
NFY_NFYB_K562_encode-Snyder_seq_hsa_Trawler_3,1.681450310318657e-08
NFY_NFYA_K562_encode-Snyder_seq_hsa_Trawler_1,1.3372839111337e-06
NFY_NFYA_K562_encode-Snyder_seq_hsa_Trawler_3,0.49613448439061925
