,p-value
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_AlignACE_1,0.0
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_MDscan_2,0.0
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_MDscan_1,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MEME_3,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MEME_2,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MEME_1,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MDscan_3,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MDscan_2,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_MDscan_1,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_AlignACE_3,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_AlignACE_2,0.0
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,0.0
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_AlignACE_1,0.0
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,0.0
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_AlignACE_2,0.0
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_AlignACE_3,0.0
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,0.0
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_MEME_2,2.71045839814827e-278
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_MEME_1,3.2539215552080036e-194
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_Trawler_3,2.315526637451758e-157
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_Trawler_3,5.518630341722961e-136
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_Trawler_2,1.8869298009722204e-88
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,3.320831198290954e-70
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_Trawler_1,8.688986808976038e-70
NR2C2_NR2C2_HepG2b_encode-Snyder_seq_hsa_Trawler_2,5.736099483496553e-64
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_MDscan_3,5.147475821214649e-52
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_Trawler_3,2.2758508212065713e-47
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_Trawler_1,2.1908411794078428e-45
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_MDscan_2,3.5191767636466104e-45
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_MDscan_1,3.941258474753482e-45
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,1.8650372685855094e-44
NR2C2_NR2C2_GM12878_encode-Snyder_seq_hsa_Trawler_1,3.794115632208272e-39
NR2C2_NR2C2_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,4.289920459288704e-34
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_Trawler_2,1.569718117425771e-22
NR2C2_NR2C2_K562b_encode-Snyder_seq_hsa_MDscan_3,2.2449667733570867e-09
