,p-value
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_1,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_3,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Weeder_2,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Weeder_3,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_MEME_1,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_MEME_1,0.0
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_AlignACE_1,0.0
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,1.733224257589519e-289
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_Trawler_2,3.974429284952202e-288
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,3.258023409149817e-273
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_Trawler_3,2.149529866594382e-243
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_Trawler_3,2.7467117723742826e-207
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,2.7467117723742826e-207
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_Trawler_1,4.0285406525363557e-190
NRF1_NRF1_GM12878_encode-Snyder_seq_hsa_IgG-mus_Trawler_1,7.756612469484721e-176
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,1.326556971598975e-155
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,3.4352058490405304e-153
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,7.575952001040073e-152
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.1829445103832542e-137
NRF1_NRF1_HeLa-S3_encode-Snyder_seq_hsa_IgG-mus_Trawler_2,1.587416999369934e-124
NRF1_NRF1_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,2.6291078872086344e-122
NRF1_NRF1_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,6.2910014148453e-69
NRF1_NRF1_K562_encode-Snyder_seq_hsa_IgG-rab_Weeder_1,
