,p-value
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_AlignACE_1,0.0
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MEME_2,0.0
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_3,0.0
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_2,0.0
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_1,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MEME_3,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MEME_2,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MDscan_3,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MDscan_2,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_3,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_1,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_MDscan_3,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_AlignACE_3,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_AlignACE_2,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_AlignACE_1,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_AlignACE_2,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_AlignACE_3,0.0
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_AlignACE_2,0.0
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Trawler_1,1.0131143551646526e-303
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MEME_3,2.808513770092343e-288
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_MDscan_3,1.3861864160143842e-228
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_MDscan_2,5.358693505201906e-217
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_MDscan_1,3.640498209738788e-182
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MDscan_1,1.3612950436125177e-180
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_MDscan_1,8.320478642789406e-174
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_MDscan_2,2.0747245011067705e-156
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Weeder_3,1.149963433338737e-137
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MDscan_1,3.684268946633436e-113
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Trawler_3,8.146743115703061e-107
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Weeder_2,1.0942455238773485e-81
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_Trawler_3,1.0660228985518248e-79
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Trawler_2,1.8238479006222813e-68
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_Trawler_2,3.184418696352502e-62
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_Trawler_2,5.164901821904475e-53
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MDscan_3,1.6107118962021968e-51
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MDscan_2,4.420341624740089e-47
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_Trawler_3,4.814641805722363e-38
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_Trawler_1,8.432627394929583e-38
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_MEME_1,2.2239939907666875e-25
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_Trawler_3,2.371059680872335e-25
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_MEME_2,6.040742003253507e-15
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_C20_MEME_1,2.859127521964282e-13
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_MEME_1,4.857869818914638e-13
PAX5_PAX5_GM12892_encode-Myers_seq_hsa_v041610.1-C20_Trawler_1,1.109467142389988e-12
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_Trawler_1,7.622596762770237e-12
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_MEME_1,4.57605617405664e-10
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_Trawler_2,1.0418834463546934e-06
PAX5_PAX5_GM12878_encode-Myers_seq_hsa_N19_MEME_2,0.322378245091203
PAX5_PAX5_GM12891_encode-Myers_seq_hsa_v041610.1-C20_Weeder_1,
