,p-value
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_AlignACE_1,7.803475284008445e-281
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_AlignACE_3,3.1953795151284746e-264
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_AlignACE_2,9.056831893922321e-240
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MEME_3,1.275065977185425e-187
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MEME_2,2.9807678992189066e-176
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MEME_1,1.2126936717486547e-152
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MDscan_2,5.370783162370241e-87
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_MDscan_3,8.295452979354737e-86
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_Trawler_3,9.931356067816705e-58
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_Trawler_1,7.603828288698966e-12
PBX3_PBX3_GM12878_encode-Myers_seq_hsa_Trawler_2,0.0021613720042199264
