,p-value
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_AlignACE_3,0.0
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_AlignACE_1,0.0
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_AlignACE_2,0.0
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_AlignACE_1,0.0
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_AlignACE_1,0.0
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_AlignACE_2,0.0
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_AlignACE_3,0.0
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_AlignACE_3,1.4278014063024e-310
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_MEME_2,7.1083304456699004e-307
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_AlignACE_2,1.0477334885445521e-304
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_MEME_2,1.7823522959768715e-299
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_MEME_1,2.331531905908798e-295
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_AlignACE_3,3.178093012902952e-295
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_MEME_1,9.221419717535523e-290
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_MEME_1,1.8708553582268514e-285
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_MEME_2,1.928479681020721e-285
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_MEME_2,6.163572214574482e-279
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Weeder_2,1.3776403728202336e-271
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_MDscan_2,3.2919347360233e-270
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Weeder_2,2.3645840622539865e-264
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_MEME_1,7.614739596102875e-252
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_MDscan_1,2.8575385598926165e-237
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Weeder_3,1.4949184744783537e-228
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Weeder_3,2.114013116382389e-228
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_MDscan_1,4.6676289919499645e-216
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_MDscan_3,3.248258177948727e-211
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Weeder_3,4.237337805627808e-211
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_MDscan_2,6.609745541665041e-207
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_MDscan_1,6.609745541665041e-207
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_MDscan_2,2.5742846299716135e-201
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_MDscan_3,1.2962827756502335e-192
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Weeder_2,5.455058324124738e-181
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_MDscan_1,1.3078200103733986e-151
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Trawler_1,1.0588736721165803e-149
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_MDscan_3,1.6665524623481366e-147
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Trawler_2,1.1547452565834675e-137
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Trawler_1,1.851077519753923e-79
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Trawler_2,3.9577285356468364e-79
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Trawler_1,2.2816158827978092e-60
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Trawler_3,1.312799098343527e-53
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Trawler_3,1.934068461929759e-20
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Trawler_3,3.1954462002712505e-14
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_Trawler_1,7.751946453109245e-06
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_Trawler_3,0.07339501321377698
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Oct-2_Trawler_2,0.28509047683715893
POU2F2_POU2F2_GM12878_encode-Myers_seq_hsa_Weeder_1,
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Weeder_1,
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Weeder_1,
POU2F2_POU2F2_GM12891_encode-Myers_seq_hsa_Oct-2_Trawler_2,
