,p-value
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_Trawler_3,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_MEME_3,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_MEME_1,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_3,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_MEME_2,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_MEME_3,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_MEME_3,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_Trawler_3,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_Trawler_3,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_MEME_3,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_MEME_3,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_MEME_2,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_MEME_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_3,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_Trawler_3,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_MEME_2,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_MEME_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_AlignACE_3,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_AlignACE_2,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_AlignACE_1,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_MDscan_1,0.0
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_3,0.0
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,0.0
REST_REST_HeLa-S3_encode-Myers_seq_hsa_Trawler_1,6.142818072218181e-246
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_1,5.699052797728442e-60
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_2,9.00476416377379e-57
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_1,2.7512647614086358e-52
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_Trawler_2,3.609861355100196e-49
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_2,1.006432709007333e-39
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_1,1.734887159320615e-31
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_Trawler_1,9.153947648475188e-26
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_Trawler_1,9.153947648475188e-26
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_Trawler_3,9.153947648475188e-26
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_3,2.8429835166698977e-25
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_Trawler_1,1.8889890163362014e-23
REST_REST_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_2,2.680304207054592e-21
REST_REST_HTB-11_encode-Myers_seq_hsa_PCR2x_Trawler_1,4.074379809928228e-18
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_Trawler_1,6.878667972830153e-16
REST_REST_H1-hESC_encode-Myers_seq_hsa_Trawler_1,6.878667972830153e-16
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_Trawler_3,1.4692061821907178e-14
REST_REST_H1-hESC_encode-Myers_seq_hsa_Trawler_2,1.4692061821907178e-14
REST_REST_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_3,1.6156188982788357e-13
REST_REST_K562_encode-Myers_seq_hsa_v041610.2_Trawler_2,6.609862514656302e-13
REST_REST_HeLa-S3_encode-Myers_seq_hsa_Trawler_2,3.893132451196243e-12
REST_REST_U87_encode-Myers_seq_hsa_PCR2x_Trawler_2,5.734274697286935e-11
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_Trawler_3,4.4047145077261813e-07
REST_REST_PANC-1_encode-Myers_seq_hsa_PCR2x_Trawler_2,1.8699472029057058e-05
REST_REST_HepG2_encode-Myers_seq_hsa_PCR2x_Trawler_3,0.6840416741150666
REST_REST_PFSK-1_encode-Myers_seq_hsa_PCR2x_Trawler_2,0.903063571340332
