,p-value
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_AlignACE_1,0.0
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_3,0.0
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_2,0.0
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_MEME_2,0.0
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_3,0.0
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_MEME_1,8.89411613692e-312
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_2,1.348266159613e-310
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_AlignACE_2,9.03823013640696e-310
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_1,3.2737454681604342e-307
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_3,3.592171637273791e-296
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_3,7.459662729943082e-289
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_2,2.378882070261297e-288
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_2,7.502413650810503e-284
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_AlignACE_3,3.5171894742932e-279
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_3,1.1995448094195594e-277
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_1,4.979463028619398e-276
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_2,1.6741038648602256e-275
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_1,1.9970610839998167e-273
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_1,2.0733282097649265e-270
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_3,7.1349323553317064e-270
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_2,2.177163937121915e-264
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_1,6.5068933511154645e-264
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_1,2.3750794171226137e-256
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_2,6.931400675430162e-256
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_MDscan_1,8.610190158997368e-254
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_3,2.8734529539087727e-252
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_MDscan_2,2.8734529539087727e-252
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_3,7.764227695161951e-252
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_MDscan_3,1.8805031722050172e-249
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_1,1.9596872052090063e-241
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_AlignACE_2,1.059837539968731e-236
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_2,1.0809251845073789e-233
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_MEME_1,3.3965296472883765e-213
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_MDscan_1,1.8736483523772186e-210
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_3,7.516484836679918e-91
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_3,3.953805081635225e-62
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_1,4.5515990595977705e-52
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_2,1.088659865800004e-47
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_Trawler_1,9.997525964194033e-46
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_Trawler_3,3.262265261052149e-40
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_3,8.761253669800928e-33
RFX5_RFX5_H1-hESC_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_1,6.629828326989592e-31
RFX5_RFX5_HepG2_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_2,3.7952158951647614e-20
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_2,1.9528793239716583e-12
RFX5_RFX5_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-494_Trawler_2,3.337691852350583e-12
RFX5_RFX5_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-494_Trawler_1,1.2834575088897103e-08
