,p-value
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_1,1.7308582334726025e-302
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_AlignACE_2,2.9948422109773253e-285
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_2,2.3216698616429096e-273
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,5.134306176229238e-263
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,6.535583810752751e-260
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_MEME_1,7.4199353328538815e-258
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_AlignACE_1,6.368234076924348e-256
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_AlignACE_3,4.740771668606998e-250
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_AlignACE_2,4.1624201364317025e-248
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_MEME_2,1.656214016758573e-246
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Weeder_3,5.177781784079024e-238
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,2.6212417120530166e-234
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_AlignACE_3,2.70789060684172e-234
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_AlignACE_3,8.53140928757595e-234
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MEME_3,4.177661221215462e-233
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,9.400639829103452e-218
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_AlignACE_1,7.688296776690267e-215
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,2.3886662826133136e-214
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,1.9000053707791016e-211
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_2,3.751717822697665e-198
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_1,4.8353200957337183e-197
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_3,3.453180393964668e-192
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MEME_2,3.655320916470063e-185
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_2,2.685683079987024e-137
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_MDscan_1,2.6498540580508103e-130
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_MDscan_3,1.0317443613116951e-127
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_MDscan_2,5.976716530152427e-122
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MEME_1,5.9780336318957e-79
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Trawler_1,5.319243163306571e-65
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_2,3.0636122008435816e-59
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_2,2.5092416954394557e-46
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Trawler_2,4.990124630177206e-44
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_1,8.910967956600025e-43
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Weeder_2,3.2446818150745817e-39
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Weeder_1,3.373116554937569e-34
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_3,2.3445120091991223e-28
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_3,3.603811788775726e-26
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_Trawler_1,1.844582926467496e-23
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_Trawler_3,3.5690679332213494e-19
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_MDscan_1,1.3710246223077825e-17
RXRA_RXRA_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_1,2.6049588414144283e-16
RXRA_PPARGC1A_HepG2_encode-Snyder_seq_hsa_forskolin_MEME_2,5.838797075274221e-12
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_Trawler_1,3.007092321569313e-11
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_Trawler_2,1.5258404495364644e-08
RXRA_RXRA_HepG2_encode-Myers_seq_hsa_Trawler_3,9.965635530544296e-06
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MDscan_2,0.07438688795420104
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MDscan_1,0.18400724488923836
RXRA_RXRA_GM12878_encode-Myers_seq_hsa_MDscan_3,0.7998931054735001
