,p-value
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MEME_2,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MEME_1,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MDscan_3,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MDscan_2,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MDscan_1,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_AlignACE_3,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_AlignACE_2,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_Trawler_3,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_Trawler_2,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_MEME_3,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_MEME_3,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_MEME_2,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_Trawler_1,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_MEME_3,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_MDscan_2,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
SIX5_SIX5_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_MEME_1,0.0
SIX5_SIX5_K562_encode-Myers_seq_hsa_Trawler_1,0.0
SIX5_SIX5_H1-hESC_encode-Myers_seq_hsa_Trawler_1,1.1373588834990047e-37
