,p-value
SP1_SP1_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
SP1_SP1_K562_encode-Myers_seq_hsa_AlignACE_3,0.0
SP1_SP1_K562_encode-Myers_seq_hsa_AlignACE_2,0.0
SP1_SP1_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
SP1_SP1_HepG2_encode-Myers_seq_hsa_MEME_2,0.0
SP1_SP1_HepG2_encode-Myers_seq_hsa_MEME_1,0.0
SP1_SP1_HepG2_encode-Myers_seq_hsa_AlignACE_3,0.0
SP1_SP1_HepG2_encode-Myers_seq_hsa_AlignACE_2,0.0
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
SP1_SP1_HepG2_encode-Myers_seq_hsa_AlignACE_1,0.0
SP1_SP1_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
SP1_SP1_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MEME_3,1.402090714973047e-275
SP1_SP1_K562_encode-Myers_seq_hsa_Weeder_3,1.7485268966506163e-262
SP1_SP1_K562_encode-Myers_seq_hsa_MEME_2,1.5264524796658582e-248
SP1_SP1_GM12878_encode-Myers_seq_hsa_MEME_2,1.2646332830582087e-241
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MEME_2,4.095241709999509e-231
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MEME_1,9.312898407019571e-216
SP1_SP1_K562_encode-Myers_seq_hsa_Weeder_2,1.5818094469663597e-194
SP1_SP1_K562_encode-Myers_seq_hsa_MDscan_3,2.365254342685686e-193
SP1_SP1_K562_encode-Myers_seq_hsa_MDscan_1,1.0048763484646757e-192
SP1_SP1_K562_encode-Myers_seq_hsa_MDscan_2,1.2549939763536658e-189
SP1_SP1_K562_encode-Myers_seq_hsa_MEME_1,5.2328122984058215e-183
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MDscan_3,1.1012739518148209e-182
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MDscan_1,4.5013904636239196e-181
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_MDscan_2,1.5355506714929802e-179
SP1_SP1_HepG2_encode-Myers_seq_hsa_MDscan_3,5.47805195173874e-176
SP1_SP1_HepG2_encode-Myers_seq_hsa_MDscan_1,1.255003835653084e-173
SP1_SP1_GM12878_encode-Myers_seq_hsa_MEME_1,2.802677256704904e-163
SP1_SP1_HepG2_encode-Myers_seq_hsa_MDscan_2,2.3260688691801267e-159
SP1_SP1_K562_encode-Myers_seq_hsa_Trawler_3,3.7917899083305076e-122
SP1_SP1_GM12878_encode-Myers_seq_hsa_MDscan_2,3.959903406675348e-49
SP1_SP1_GM12878_encode-Myers_seq_hsa_Trawler_3,1.5818176520372314e-48
SP1_SP1_GM12878_encode-Myers_seq_hsa_MDscan_1,1.231929827331145e-47
SP1_SP1_GM12878_encode-Myers_seq_hsa_MDscan_3,1.9253239614839255e-43
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_Trawler_1,2.2407383306729432e-42
SP1_SP1_HepG2_encode-Myers_seq_hsa_Trawler_1,3.012904508942601e-37
SP1_SP1_HepG2_encode-Myers_seq_hsa_Trawler_2,3.966933026483772e-23
SP1_SP1_K562_encode-Myers_seq_hsa_Trawler_2,3.966933026483772e-23
SP1_SP1_K562_encode-Myers_seq_hsa_Trawler_1,2.023946295731757e-17
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_Trawler_3,7.637867242146751e-16
SP1_SP1_GM12878_encode-Myers_seq_hsa_Trawler_1,9.404642554038353e-15
SP1_SP1_H1-hESC_encode-Myers_seq_hsa_Trawler_2,1.2689633674574592e-06
SP1_SP1_HepG2_encode-Myers_seq_hsa_Trawler_3,6.641122485804495e-06
SP1_SP1_GM12878_encode-Myers_seq_hsa_Trawler_2,0.09201029996051172
SP1_SP1_K562_encode-Myers_seq_hsa_Weeder_1,
