,p-value
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_MEME_2,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_MEME_1,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_MDscan_3,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_MDscan_2,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_MDscan_1,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_Trawler_1,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_MEME_3,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_MEME_2,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_MEME_1,0.0
SPI1_SPI1_K562_encode-Myers_seq_hsa_Trawler_2,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_MDscan_1,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_MDscan_2,0.0
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_AlignACE_1,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_Trawler_1,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MEME_3,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MDscan_3,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MDscan_2,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_AlignACE_2,6.4068661269317095e-130
SPI1_SPI1_K562_encode-Myers_seq_hsa_AlignACE_2,8.490133484240929e-100
SPI1_SPI1_K562_encode-Myers_seq_hsa_Trawler_3,4.2667872880746914e-97
SPI1_SPI1_K562_encode-Myers_seq_hsa_AlignACE_3,3.2445201936174152e-83
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_AlignACE_2,3.248457718484687e-77
SPI1_SPI1_GM12878_encode-Myers_seq_hsa_AlignACE_3,2.288769633472251e-72
SPI1_SPI1_GM12891_encode-Myers_seq_hsa_AlignACE_3,5.500670810519627e-31
SPI1_SPI1_K562_encode-Myers_seq_hsa_Trawler_1,3.3267121910943444e-13
