,p-value
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_AlignACE_3,2.2568788953920397e-131
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_AlignACE_2,5.001586396595725e-125
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_AlignACE_1,8.415446208149503e-110
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_MEME_1,2.2501741574585474e-32
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_MEME_2,4.0053516856700973e-32
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_Trawler_3,3.5675437793340563e-29
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_MDscan_3,3.352968099486817e-27
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_MDscan_2,4.478528535498197e-26
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_MDscan_1,5.933620888695784e-25
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_Trawler_2,3.555379300167674e-08
SREBP_SREBF1_HepG2_encode-Snyder_seq_hsa_insulin_Trawler_1,2.3167152651220025e-07
