,p-value
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_MEME_1,0.0
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_MEME_2,0.0
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_MDscan_3,0.0
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_MDscan_2,0.0
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_3,0.0
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_2,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Weeder_3,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_MEME_1,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_MEME_3,0.0
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_AlignACE_1,3.024721752814124e-301
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,5.631049117775908e-300
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,7.077918204299692e-300
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_2,1.6464493485873457e-293
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_3,1.0879117574052452e-289
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_2,1.1625697836320615e-285
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,8.260013214349564e-274
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_1,1.9493891883816272e-273
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_AlignACE_3,4.125635257008037e-273
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,8.619169590431582e-266
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,6.63068574905333e-259
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_3,2.9735975961144976e-251
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,5.542489575500258e-231
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_Trawler_2,1.575074867467402e-225
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,1.014931779261882e-93
SRF_SRF_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,6.659199500720592e-92
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_3,3.1211857813497254e-74
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_Trawler_1,5.54941900599477e-59
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_Trawler_3,3.370059324084453e-58
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Trawler_3,2.7367307256407645e-55
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Weeder_2,8.813044632139307e-54
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_2,2.123544640022253e-45
SRF_SRF_H1-hESC_encode-Myers_seq_hsa_Trawler_1,2.307042288332674e-39
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Trawler_1,9.968882087105806e-19
SRF_SRF_GM12878_encode-Myers_seq_hsa_PCR2x_Trawler_1,4.1631267951485464e-05
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_Trawler_3,0.0423649464743827
SRF_SRF_GM12878_encode-Myers_seq_hsa_v041610.1_Trawler_2,
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Weeder_1,
SRF_SRF_K562_encode-Myers_seq_hsa_v041610.1_Trawler_2,
