,p-value
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_MEME_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_MDscan_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_AlignACE_3,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_MDscan_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_MDscan_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_MDscan_3,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_MEME_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_MEME_2,0.0
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,0.0
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_MEME_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_MEME_1,0.0
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_MEME_1,0.0
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_MEME_1,0.0
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_MEME_2,0.0
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_MEME_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_MDscan_1,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_MDscan_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_MDscan_3,0.0
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_MEME_2,0.0
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_MDscan_1,6.423651891349706e-303
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_MEME_1,4.724205734347675e-301
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_MEME_1,3.4352402061626663e-299
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_3,1.9977814418146645e-292
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,1.4832689500241813e-284
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_MEME_1,2.424683282926829e-276
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_MEME_2,2.1657798954597994e-273
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_MEME_2,4.2826095322909e-270
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_MDscan_2,1.3691810560100882e-269
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_MDscan_2,1.838840481433225e-269
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_MDscan_3,1.4543047033110102e-265
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_3,1.274620566984137e-262
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_MDscan_3,9.493873755891016e-262
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_2,1.2439559615286623e-257
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_MDscan_1,1.2439559615286623e-257
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_MDscan_1,5.887342028650899e-254
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_AlignACE_1,2.1444168274521847e-246
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_1,4.3001640606439413e-213
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_Trawler_1,1.2122385190388369e-211
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_2,1.5892841864059224e-203
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_TAM-1uM-36hr_AlignACE_1,1.5759806491716592e-198
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_AlignACE_1,5.4247056316132455e-140
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_Trawler_3,1.59226396784594e-75
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_Trawler_1,1.7801331845552284e-37
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_Trawler_1,1.242524911523479e-33
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_MEME_1,6.227515404493181e-32
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_Trawler_3,1.4594441071203267e-30
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_AlignACE_1,1.295925342413488e-28
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_3,3.856892481011324e-27
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_2,3.196949499112376e-26
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_1,3.3248663716615558e-25
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_2,5.867465933562937e-25
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_1,3.463355301356348e-24
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_3,7.963796529834775e-24
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_MEME_3,6.712775303768934e-23
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_1,8.785324001151677e-23
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_AlignACE_2,1.0413104161548199e-22
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_MDscan_3,1.3288873585138574e-22
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_2,1.5410560266693824e-22
STAT_STAT1_HeLa-S3_encode-Snyder_seq_hsa_IFNg30_AlignACE_3,5.357344265695567e-22
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_1,1.1537411456165748e-21
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_2,1.2371283358428989e-21
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,1.1163684298713172e-20
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_AlignACE_2,1.7668714458572132e-20
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_AlignACE_1,3.651931390703257e-20
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_Trawler_2,4.4844647502647066e-20
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_2,4.5400411663177546e-20
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_1,5.896735456848054e-20
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_3,7.3278883507512e-20
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_Trawler_2,1.4145520011603398e-19
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_2,1.0510564585403915e-18
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_MDscan_2,1.6235633184450698e-18
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct_MDscan_3,1.0874600980723213e-16
STAT_STAT3_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_2,1.1870322970084676e-16
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_Trawler_2,1.762054623292792e-16
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_3,3.7496710965804106e-16
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_3,3.988626879066519e-16
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_2,3.988626879066519e-16
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_1,3.988626879066519e-16
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_3,4.520403462119926e-16
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_Trawler_2,8.257515660008948e-16
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_1,9.642758188925867e-16
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_2,1.0259901466236324e-15
STAT_STAT3_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_3,2.9705143095636383e-15
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_2,3.97159016083402e-15
STAT_STAT3_GM12878_encode-Snyder_seq_hsa_IgG-mus_MDscan_1,1.6403207824269818e-14
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_1,1.6453271932820138e-14
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_3,1.0039445090175451e-13
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa30_AlignACE_2,1.2180893351411953e-13
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_3,5.227093322793982e-13
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,7.35579612939476e-13
STAT_STAT3_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,3.855657296203846e-12
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_Trawler_3,1.3617982655555929e-11
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_AlignACE_2,2.269935992762269e-11
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_AlignACE_2,4.074824116049418e-11
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_Trawler_1,4.4391716675776107e-11
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNa6h_AlignACE_1,6.067588433633612e-11
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_3,6.472997278704957e-11
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-4hr_AlignACE_3,7.307326191683963e-11
STAT_STAT3_MCF10A-Er-Src_encode-Snyder_seq_hsa_EtOH-0.01pct-12hr_Trawler_3,1.7686967496589357e-10
STAT_STAT2_K562_encode-Snyder_seq_hsa_IFNa30_MEME_2,2.1177408394270765e-10
STAT_STAT1_K562_encode-Snyder_seq_hsa_IFNg30_Trawler_1,5.551989088729201e-10
