,p-value
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MEME_1,0.0
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MEME_2,0.0
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MEME_3,0.0
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MDscan_3,2.414267038438595e-165
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MDscan_2,4.448240355491874e-146
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_MDscan_1,6.9557760472009825e-137
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_Trawler_3,6.653583690786798e-79
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_AlignACE_1,6.014402742301728e-45
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_AlignACE_3,1.0241277981019104e-39
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_AlignACE_2,7.429319065146354e-30
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_Trawler_1,0.00020106559512085502
TAL1_TAL1_K562_encode-Snyder_seq_hsa_IgG-mus-SC-12984_Trawler_2,0.63392665694075
