,p-value
TATA_GTF2B_K562_encode-Snyder_seq_hsa_AlignACE_1,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_MDscan_1,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_MDscan_2,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_MDscan_3,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_3,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_3,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_Trawler_1,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_AlignACE_1,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_AlignACE_2,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_AlignACE_3,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_MDscan_1,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_MDscan_2,0.0
TATA_TAF1_K562_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_MEME_1,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_2,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_3,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MDscan_2,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_MDscan_3,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_MDscan_1,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_MDscan_2,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_Weeder_2,0.0
TATA_TAF1_HeLa-S3_encode-Myers_seq_hsa_Weeder_3,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_1,0.0
TATA_TAF1_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_2,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_v041610.2_MEME_3,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_MEME_2,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_Weeder_2,0.0
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_3,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_1,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_2,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_3,0.0
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_1,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_3,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_Trawler_3,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_AlignACE_1,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MEME_1,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_MEME_3,0.0
TATA_TBP_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,0.0
TATA_TAF7_H1-hESC_encode-Myers_seq_hsa_v041610.2-SQ-8_Weeder_1,0.0
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_3,0.0
