,p-value
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_AlignACE_3,0.0
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_AlignACE_2,0.0
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_AlignACE_1,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_MEME_1,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_MDscan_1,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_AlignACE_3,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_AlignACE_1,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_MDscan_3,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_MDscan_3,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_MDscan_2,0.0
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Weeder_2,9.45540645421476e-309
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Weeder_3,1.010694411602621e-298
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_Trawler_3,8.941448975653365e-292
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_MDscan_1,8.584087470870554e-282
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_MDscan_3,1.4396784251541493e-257
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_MDscan_1,9.565336083436802e-167
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Trawler_2,2.691595826550447e-163
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_MDscan_2,5.718051200525432e-149
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Trawler_3,3.1331331499410092e-58
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_MEME_1,1.6474925572608128e-31
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_MDscan_2,5.1206966726542435e-25
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_MEME_2,3.7080228088281055e-22
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_Trawler_3,1.9164979711993995e-08
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_Trawler_2,5.618619315724789e-06
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_Trawler_2,3.3579773636097524e-05
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Trawler_1,0.0004775591761635909
TCF12_TCF12_HepG2_encode-Myers_seq_hsa_Trawler_1,0.010482348107659517
TCF12_TCF12_GM12878_encode-Myers_seq_hsa_Trawler_1,0.45784290083273316
TCF12_TCF12_H1-hESC_encode-Myers_seq_hsa_Weeder_1,
