,p-value
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_AlignACE_1,0.0
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_AlignACE_2,0.0
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_AlignACE_3,0.0
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_MEME_1,0.0
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_MEME_2,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_AlignACE_1,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_AlignACE_2,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_AlignACE_3,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_MDscan_1,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_MDscan_2,0.0
TCF7L2_TCF7L2_HepG2b_encode-Snyder_seq_hsa_MDscan_3,0.0
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_MDscan_1,1.9767241747675306e-208
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_MDscan_2,3.143581298542403e-208
TCF7L2_TCF7L2_HCT-116_encode-Snyder_seq_hsa_MDscan_3,9.065695308539027e-204
