,p-value
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_2,0.0
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_3,0.0
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,6.487212731698047e-302
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,2.2759016735213205e-292
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,1.3614152552305556e-288
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,2.155826286850448e-283
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,3.7160918924991744e-179
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,3.066226359550277e-77
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,2.5847114843572177e-64
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_Trawler_1,6.4658486539733655e-49
TFAP2_TFAP2A_HeLa-S3_encode-Snyder_seq_hsa_Trawler_3,1.6567953410886146e-45
TFAP2_TFAP2C_HeLa-S3_encode-Snyder_seq_hsa_Trawler_2,1.5217859152665574e-42
