,p-value
YY1_YY1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_MEME_2,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_MDscan_1,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_3,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_2,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_AlignACE_1,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_3,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
YY1_YY1_GM12891_encode-Myers_seq_hsa_v041610.1-C-20_MEME_1,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
YY1_YY1_GM12892_encode-Myers_seq_hsa_v041610.1_MEME_3,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_AlignACE_2,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_MEME_2,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_MEME_1,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_MDscan_2,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_MDscan_1,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_AlignACE_3,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_AlignACE_2,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_AlignACE_1,0.0
YY1_YY1_K562b_encode-Snyder_seq_hsa_AlignACE_1,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MEME_2,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MEME_1,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MDscan_3,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MDscan_2,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MDscan_1,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_AlignACE_3,0.0
YY1_YY1_H1-hESC_encode-Myers_seq_hsa_v041610.2-C-20_MEME_3,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
YY1_YY1_GM12878_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
YY1_YY1_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_1,0.0
YY1_YY1_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_2,0.0
YY1_YY1_K562_encode-Myers_seq_hsa_v041610.2_AlignACE_3,0.0
YY1_YY1_K562_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.0
