,p-value
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_AlignACE_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_MDscan_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_3,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_AlignACE_1,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_AlignACE_2,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_AlignACE_3,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MDscan_1,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MDscan_2,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MDscan_3,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MEME_1,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MEME_2,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_MEME_3,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Weeder_2,0.0
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Weeder_3,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_3,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_AlignACE_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_AlignACE_3,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_AlignACE_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_AlignACE_2,0.0
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_MEME_2,0.0
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_MEME_1,0.0
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_MDscan_1,0.0
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_AlignACE_3,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_MDscan_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_MDscan_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_MDscan_3,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_MEME_1,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_MEME_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Weeder_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Weeder_3,0.0
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_AlignACE_2,0.0
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Trawler_1,7.352723971472504e-157
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_Trawler_2,1.1344542150178833e-99
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_Trawler_3,4.3537392841119144e-85
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Trawler_3,7.432194537632179e-57
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_3,3.360398744719082e-56
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Trawler_2,3.293356523158637e-50
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,5.6739854370201755e-49
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Trawler_1,5.672083014387791e-48
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Trawler_3,2.469944986374272e-38
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Trawler_2,7.38002363436582e-28
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,1.85386629279953e-18
ZBTB33_ZBTB33_GM12878_encode-Myers_seq_hsa_Trawler_1,1.668297048393722e-06
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_Weeder_1,
ZBTB33_ZBTB33_HepG2_encode-Myers_seq_hsa_v041610.1_Weeder_1,
ZBTB33_ZBTB33_K562_encode-Myers_seq_hsa_Weeder_1,
