,p-value
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_AlignACE_1,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_AlignACE_2,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_AlignACE_3,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_MDscan_2,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_MEME_1,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_MEME_2,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Weeder_2,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Weeder_3,0.0
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_MDscan_1,7.783804782588721e-243
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_MDscan_3,2.7406459023015484e-225
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Trawler_3,5.921947629721174e-155
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Trawler_2,1.840565420057358e-141
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Trawler_1,2.134822072818105e-70
ZBTB7A_ZBTB7A_K562_encode-Myers_seq_hsa_v041610.1-SC-34508_Weeder_1,
