,p-value
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_AlignACE_1,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_AlignACE_2,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_AlignACE_3,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_MDscan_2,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_MDscan_3,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_MEME_1,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_MEME_2,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Weeder_2,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Weeder_3,0.0
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_MDscan_1,1.1177465553581983e-97
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Trawler_2,1.1461542807068873e-69
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Trawler_1,6.14997822138493e-43
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Trawler_3,9.622564428157513e-37
ZEB1_ZEB1_GM12878_encode-Myers_seq_hsa_v041610.2-SC-25388_Weeder_1,
