,p-value
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_AlignACE_1,0.0
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_AlignACE_2,0.0
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_AlignACE_3,0.0
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_MEME_3,9.531086559118128e-103
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_MEME_2,1.8547910107167518e-69
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_Trawler_1,4.604302962922777e-53
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_Trawler_2,4.461468378284366e-39
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_MDscan_2,2.3312583706962557e-37
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_MDscan_1,5.1957945335109025e-37
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_MEME_1,8.10886088308344e-32
ZNF143_ZNF143_GM12878_encode-Snyder_seq_hsa_16618-1-AP_Trawler_3,6.2900534503168315e-28
